ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20160023195,43431,I,2508916.05,2370513.878,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.166715,145.101737,3930
T20160023196,310284,N,2497011.908,2409240.426,MELBOURNE,MELBOURNE,MELB_URBAN,-37.817854,144.966062,3000
T20160023196,310284,N,2497011.908,2409240.426,MELBOURNE,MELBOURNE,MELBOURNE_CBD,-37.817854,144.966062,3000
T20160023200,38699,I,2489689.798,2409463.921,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.815788,144.882901,3013
T20160023202,43858,I,2524448.838,2379323.956,CASEY,CASEY,MELB_URBAN,-38.087068,145.27868,3977
T20160023203,312186,N,2497276.418,2410409.797,MELBOURNE,MELBOURNE,MELB_URBAN,-37.807318,144.96907,3053
T20160023206,309908,N,2501709.566,2412345.474,BOROONDARA,BOROONDARA,MELB_URBAN,-37.78988,145.01941,3101
T20160023207,316655,N,2692531.587,2584206.56,TOWONG,TOWONG,RURAL_VICTORIA,-36.221569,147.14167,3700
T20160023208,42746,I,2504928.678,2393096.303,KINGSTON,KINGSTON,MELB_URBAN,-37.9633,145.056087,3192
T20160023213,38779,I,2491174.987,2409590.181,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.814665,144.899771,3013
T20160023214,66520,I,2497077.199,2407898.344,MELBOURNE,MELBOURNE,MELB_URBAN,-37.829946,144.966798,3006
T20160023217,309993,N,2463353.941,2422928.14,MELTON,MELTON,SMALL_CITIES,-37.693808,144.584461,3337
T20160023219,42018,I,2499530.888,2397347.738,BAYSIDE,BAYSIDE,MELB_URBAN,-37.925009,144.994664,3186
T20160023220,669,I,2500512.054,2401795.991,GLEN EIRA,GLEN EIRA,MELB_URBAN,-37.884932,145.005821,3185
T20160023222,46911,I,2496224.419,2408391.777,MELBOURNE,MELBOURNE,MELB_URBAN,-37.825497,144.957113,3006
T20160023225,39642,I,2520279.994,2410694.285,MAROONDAH,MAROONDAH,MELB_URBAN,-37.804538,145.230297,3134
T20160023226,309915,N,2528055.018,2407090.069,YARRA RANGES,"MAROONDAH,YARRA RANGES",MELB_URBAN,-37.83681,145.318725,3137
T20160023228,36189,I,2489672.922,2424045.767,HUME,HUME,MELB_URBAN,-37.684401,144.882913,3049
T20160023230,57391,I,2496945.284,2418547.987,MORELAND,MERRI-BEK,MELB_URBAN,-37.733991,144.965343,3058
T20160023231,311202,N,2485920.799,2488012.165,MITCHELL,MITCHELL,RURAL_VICTORIA,-37.10793,144.841579,3521
T20160023232,146122,N,2500426.883,2405859.779,STONNINGTON,STONNINGTON,MELB_URBAN,-37.848318,145.00485,3181
T20160023237,309944,N,2517468.677,2387563.457,DANDENONG,DANDENONG,MELB_URBAN,-38.012996,145.198921,3175
T20160023238,310154,N,2442175.808,2378814.617,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.090176,144.340859,3214
T20160023240,261240,I,2669210.815,2592084.778,WODONGA,WODONGA,SMALL_CITIES,-36.155022,146.880598,3690
T20160023241,310100,N,2513992.505,2398308.246,MONASH,MONASH,MELB_URBAN,-37.91625,145.159132,3170
T20160023242,42830,I,2496604.395,2417789.601,MORELAND,MERRI-BEK,MELB_URBAN,-37.740823,144.961473,3058
T20160023245,50021,I,2445775.156,2371334.802,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.157775,144.381333,3219
T20160023246,310121,N,2455132.577,2357661.165,GEELONG,GEELONG,SMALL_CITIES,-38.28145,144.487252,3227
T20160023248,313708,N,2499290.412,2409250.588,YARRA,YARRA,MELB_URBAN,-37.817767,144.991941,3121
T20160023249,314676,N,2498421.685,2408131.676,MELBOURNE,MELBOURNE,MELB_URBAN,-37.827847,144.982071,3004
T20160023251,271985,N,2491400.353,2411208.854,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.800083,144.902349,3011
T20160023253,119085,N,2495087.157,2433420.795,HUME,HUME,MELB_URBAN,-37.59997,144.944361,3064
T20160023254,310012,N,2594687.638,2486756.175,MANSFIELD,MANSFIELD,RURAL_VICTORIA,-37.114579,146.065549,3723
T20160023256,310056,N,2398564.729,2448055.05,HEPBURN,HEPBURN,RURAL_VICTORIA,-37.462609,143.853279,3352
T20160023257,313079,N,2491327.785,2418400.852,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.735281,144.90161,3041
T20160023263,280692,I,2503531.868,2363170.209,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.232906,145.040336,3931
T20160023266,309992,N,2516986.51,2349790.424,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.353281,145.194308,3919
T20160023268,29740,I,2514958.428,2371649.06,FRANKSTON,FRANKSTON,MELB_URBAN,-38.156411,145.170661,3910
T20160023269,202861,N,2523710.279,2405829.377,KNOX,KNOX,MELB_URBAN,-37.84829,145.269407,3153
T20160023270,38962,I,2503467.172,2408658.666,BOROONDARA,BOROONDARA,MELB_URBAN,-37.823094,145.039382,3122
T20160023272,29621,I,2512512.206,2403279.873,MONASH,MONASH,MELB_URBAN,-37.871478,145.142213,3149
T20160023275,309956,N,2431679.583,2523370.002,BENDIGO,BENDIGO,LARGE_PROVINCIAL_CITIES,-36.786906,144.234467,3555
T20160023276,38046,I,2501869.335,2423562.395,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.688812,145.021195,3074
T20160023278,309940,N,2436459.629,2489604.317,MOUNT ALEXANDER,MOUNT ALEXANDER,RURAL_VICTORIA,-37.091537,144.285185,3451
T20160023279,311893,N,2519552.904,2389510.979,DANDENONG,DANDENONG,MELB_URBAN,-37.995408,145.222603,3175
T20160023281,315896,N,2462194.783,2368405.392,GEELONG,GEELONG,RURAL_VICTORIA,-38.184981,144.568515,3222
T20160023282,652864,N,2536279.619,2569802.244,SHEPPARTON,SHEPPARTON,SMALL_CITIES,-36.370214,145.404311,3630
T20160023283,310578,N,2473341.358,2401612.782,WYNDHAM,WYNDHAM,MELB_URBAN,-37.8862,144.69694,3030
T20160023284,77582,N,2499546.54,2409214.499,YARRA,YARRA,MELB_URBAN,-37.818092,144.99485,3121
T20160023285,52986,I,2397458.157,2434784.448,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.582061,143.838941,3356
T20160023286,310016,I,2489729.844,2424437.593,HUME,HUME,MELB_URBAN,-37.680871,144.883564,3049
T20160023287,310895,N,2507426.76,2396357.847,KINGSTON,KINGSTON,MELB_URBAN,-37.933898,145.084482,3167
T20160023288,44834,I,2512860.728,2419999.413,NILLUMBIK,NILLUMBIK,MELB_URBAN,-37.720829,145.145883,3095
T20160023289,37504,I,2500768.183,2422595.159,DAREBIN,DAREBIN,MELB_URBAN,-37.697529,145.008711,3073
T20160023290,309930,I,2517951,2392032.826,DANDENONG,DANDENONG,MELB_URBAN,-37.972721,145.204304,3175
T20160023292,318832,N,2529873.076,2404841.031,YARRA RANGES,"KNOX,YARRA RANGES",MELB_URBAN,-37.857017,145.339471,3787
T20160023293,309931,N,2518036.55,2391598.586,DANDENONG,DANDENONG,MELB_URBAN,-37.976631,145.205288,3175
T20160023294,310172,N,2492310.825,2422982.592,HUME,HUME,MELB_URBAN,-37.694006,144.91281,3047
T20160023296,310733,N,2506656.963,2394610.717,KINGSTON,KINGSTON,MELB_URBAN,-37.949645,145.075741,3192
T20160023301,314483,N,2558738.131,2353032.122,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.32237,145.671632,3987
T20160023303,309960,N,2486671.177,2408593.691,HOBSONS BAY,HOBSONS BAY,MELB_URBAN,-37.82359,144.848602,3012
T20160023305,130984,N,2527053.211,2386724.925,CASEY,CASEY,MELB_URBAN,-38.02032,145.308093,3805
T20160023306,358465,N,2493770.949,2410219.94,MELBOURNE,MELBOURNE,MELB_URBAN,-37.809012,144.92926,3003
T20160023307,309959,N,2502563.339,2410399.678,BOROONDARA,BOROONDARA,MELB_URBAN,-37.80741,145.02911,3101
T20160023310,312429,N,2499078.931,2410696.675,YARRA,YARRA,MELB_URBAN,-37.804737,144.98954,3066
T20160023311,309935,N,2479067.591,2413073.113,BRIMBANK,BRIMBANK,MELB_URBAN,-37.78309,144.762362,3026
T20160023314,41364,I,2503617.282,2399675.666,GLEN EIRA,GLEN EIRA,MELB_URBAN,-37.904029,145.041131,3204
T20160023315,36056,I,2473023.885,2409002.007,WYNDHAM,WYNDHAM,RURAL_VICTORIA,-37.819615,144.693602,3029
T20160023317,309939,N,2511761.854,2405440.573,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.852021,145.13365,3151
T20160023318,314395,N,2306680.484,2491608.958,NORTHERN GRAMPIANS,NORTHERN GRAMPIANS,RURAL_VICTORIA,-37.055728,142.826051,3384
T20160023320,310020,N,2433803.466,2524957.314,BENDIGO,BENDIGO,LARGE_PROVINCIAL_CITIES,-36.772753,144.258403,3555
T20160023321,310285,N,2611521.64,2368228.329,LATROBE,LATROBE,RURAL_VICTORIA,-38.180631,146.272799,3825
T20160023321,310285,N,2611521.64,2368228.329,LATROBE,LATROBE,SMALL_CITIES,-38.180631,146.272799,3825
T20160023322,310013,N,2493395.623,2422849.925,MORELAND,MERRI-BEK,MELB_URBAN,-37.69521,144.92511,3046
T20160023323,309941,N,2427825.63,2429594.551,MOORABOOL,MOORABOOL,RURAL_VICTORIA,-37.631667,144.18226,3342
T20160023324,50186,I,2442849.567,2368634.959,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.181921,144.347744,3216
T20160023325,44459,I,2442852.471,2368650.302,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.181783,144.347779,3216
T20160023327,54800,I,2485460.316,2413263.615,BRIMBANK,BRIMBANK,MELB_URBAN,-37.781496,144.83494,3020
T20160023328,358466,N,2516941.021,2409359.35,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.816633,145.192411,3132
T20160023329,46034,I,2493975.851,2413434.547,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.78005,144.931613,3032
T20160023330,309982,N,2468905.58,2547105.913,CAMPASPE,CAMPASPE,RURAL_VICTORIA,-36.57495,144.652551,3558
T20160023331,38339,I,2511982.223,2417153.387,MANNINGHAM,MANNINGHAM,MELB_URBAN,-37.746484,145.135964,3106
T20160023334,228615,I,2516771.918,2405380.384,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.852486,145.19058,3133
T20160023335,312266,N,2499512.193,2423597.75,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.688495,144.994469,3074
T20160023336,311037,N,2562266.493,2500404.775,MANSFIELD,MANSFIELD,RURAL_VICTORIA,-36.99429,145.699592,3715
T20160023337,310743,N,2504532.666,2409397.963,BOROONDARA,BOROONDARA,MELB_URBAN,-37.816428,145.05148,3123
