ACCIDENT_NO,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LGA_NAME,LGA NAME ALL,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH
T20120000009,249102,N,2563628.962,2362700.434,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.234957,145.726709,3981
T20120000012,41780,N,2514194.683,2399718.586,MONASH,MONASH,MELB_URBAN,-37.903541,145.161404,3170
T20120000013,69811,I,2508689.41,2396130.003,KINGSTON,KINGSTON,MELB_URBAN,-37.93594,145.098848,3169
T20120000018,22636,I,2227360.371,2804744.001,MILDURA,MILDURA,RURAL_VICTORIA,-34.215874,142.043881,3505
T20120000021,248597,N,2480590.789,2347977.747,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.369561,144.77793,3942
T20120000028,248598,N,2557226.903,2497759.563,MURRINDINDI,"MURRINDINDI,MURRINDINDI",RURAL_VICTORIA,-37.018449,145.643172,3719
T20120000032,53249,I,2495882.755,2406589.594,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.841733,144.953222,3206
T20120000043,43910,N,2525286.486,2375502.757,CASEY,CASEY,MELB_URBAN,-38.12147,145.28836,3977
T20120000044,42677,I,2531332.181,2396227.686,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.934572,145.356418,3160
T20120000046,47545,I,2489297.363,2348258.781,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.367171,144.87755,3940
T20120000050,248600,N,2281783.011,2344624.261,WARRNAMBOOL,WARRNAMBOOL,SMALL_CITIES,-38.37419,142.502841,3280
T20120000053,35388,I,2512534.938,2391244.897,KINGSTON,KINGSTON,MELB_URBAN,-37.979908,145.142676,3172
T20120000054,29701,I,2509813.224,2392095.253,KINGSTON,KINGSTON,MELB_URBAN,-37.97228,145.111686,3194
T20120000056,249133,I,2565245.036,2339381.704,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.444885,145.747256,3946
T20120000058,44349,I,2470268.216,2401176.604,WYNDHAM,WYNDHAM,MELB_URBAN,-37.890037,144.661987,3030
T20120000059,273183,N,2526651.59,2373529.194,CASEY,CASEY,MELB_URBAN,-38.139211,145.303999,3977
T20120000060,248602,I,2477103.252,2403014.523,WYNDHAM,WYNDHAM,MELB_URBAN,-37.873671,144.739749,3030
T20120000062,248782,N,2456353.319,2527440.085,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.75169,144.511165,3551
T20120000063,39192,I,2508333.767,2412158.171,BOROONDARA,BOROONDARA,MELB_URBAN,-37.791532,145.094621,3104
T20120000064,248603,N,2587361.778,2328459.912,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.541422,146.001861,3956
T20120000065,248604,N,2512488.375,2375380.014,FRANKSTON,FRANKSTON,MELB_URBAN,-38.122837,145.142416,3200
T20120000066,273184,N,2633269.594,2563919.382,WANGARATTA,WANGARATTA,RURAL_VICTORIA,-36.414553,146.486109,3678
T20120000079,46415,N,2497578.345,2341159.014,MORNINGTON PENINSULA,MORNINGTON PENINSULA,RURAL_VICTORIA,-38.43118,144.97227,3929
T20120000082,41011,I,2525291.973,2407621.891,MAROONDAH,MAROONDAH,MELB_URBAN,-37.832098,145.287317,3153
T20120000083,249689,N,2295882.595,2389822.234,MOYNE,MOYNE,RURAL_VICTORIA,-37.97037,142.676743,3273
T20120000084,248895,N,2556495.014,2412159.629,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.789841,145.641429,3799
T20120000086,248605,N,2496898.202,2407708.318,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.831658,144.964764,3205
T20120000087,273186,N,2698469.178,2518002.724,ALPINE,ALPINE,RURAL_VICTORIA,-36.816852,147.224903,3699
T20120000090,273187,N,2524048.27,2393487.311,CASEY,CASEY,MELB_URBAN,-37.959479,145.27365,3802
T20120000091,254398,N,2475642.239,2436820.962,HUME,HUME,SMALL_CITIES,-37.569027,144.724256,3429
T20120000093,20746,I,2805780.219,2416014.466,EAST GIPPSLAND,EAST GIPPSLAND,RURAL_VICTORIA,-37.706624,148.468666,3888
T20120000096,249283,N,2513641.972,2376531.362,FRANKSTON,FRANKSTON,MELB_URBAN,-38.112448,145.15555,3198
T20120000097,37583,I,2497517.608,2407639.426,PORT PHILLIP,"MELBOURNE,PORT PHILLIP",MELB_URBAN,-37.83228,144.9718,3004
T20120000098,273192,N,2549581.813,2394007.671,CARDINIA,CARDINIA,RURAL_VICTORIA,-37.953778,145.564162,3783
T20120000099,43751,I,2464413.184,2424896.116,MELTON,MELTON,SMALL_CITIES,-37.676117,144.596566,3337
T20120000100,273193,N,2586539.608,2385966.448,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.023512,145.985606,3831
T20120000104,248609,I,2510010.641,2479369.752,MITCHELL,MITCHELL,RURAL_VICTORIA,-37.185867,145.112756,3658
T20120000109,273188,I,2291217.816,2685209.729,BULOKE,BULOKE,RURAL_VICTORIA,-35.308175,142.704714,3533
T20120000116,273194,N,2478405.859,2421367.495,MELTON,MELTON,MELB_URBAN,-37.70834,144.755092,3037
T20120000124,248613,N,2493672.289,2413980.383,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.775129,144.928171,3032
T20120000131,250962,N,2522292.353,2391842.24,CASEY,CASEY,MELB_URBAN,-37.974344,145.253719,3802
T20120000133,45006,I,2484058.53,2412927.477,BRIMBANK,BRIMBANK,MELB_URBAN,-37.784501,144.819019,3020
T20120000137,273195,N,2251186.547,2394581.819,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.916606,142.169897,3289
T20120000138,248615,I,2282204.881,2426591.552,SOUTHERN GRAMPIANS,SOUTHERN GRAMPIANS,RURAL_VICTORIA,-37.63608,142.531978,3293
T20120000139,36366,I,2497476.572,2412045.745,MELBOURNE,"MELBOURNE,YARRA",MELB_URBAN,-37.792579,144.971349,3054
T20120000141,71100,I,2529465.224,2385228.657,CASEY,CASEY,MELB_URBAN,-38.033727,145.335622,3806
T20120000142,36651,I,2510912.083,2386579.266,KINGSTON,KINGSTON,MELB_URBAN,-38.021963,145.124274,3195
T20120000146,248616,N,2455827.007,2515249.627,BENDIGO,BENDIGO,RURAL_VICTORIA,-36.86153,144.50456,3551
T20120000147,270,I,2511171.456,2373550.449,FRANKSTON,FRANKSTON,MELB_URBAN,-38.139335,145.127426,3199
T20120000148,273185,N,2616021.329,2483550.701,MANSFIELD,MANSFIELD,RURAL_VICTORIA,-37.14107,146.306091,3723
T20120000152,248617,I,2550190.898,2428091.863,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.64665,145.568775,3777
T20120000155,248618,I,2517258.939,2397775.042,MONASH,MONASH,MELB_URBAN,-37.920999,145.196293,3150
T20120000165,278495,I,2493391.921,2436091.896,HUME,HUME,MELB_URBAN,-37.575891,144.925186,3064
T20120000167,247812,N,2506327.236,2390990.113,KINGSTON,KINGSTON,MELB_URBAN,-37.982267,145.072021,3195
T20120000169,248791,I,2496150.294,2405790.904,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.848931,144.956258,3206
T20120000174,273196,N,2520554.894,2392742.781,CASEY,CASEY,MELB_URBAN,-37.96627,145.233919,3177
T20120000178,57923,I,2478029.707,2419626.185,MELTON,MELTON,MELB_URBAN,-37.724022,144.750774,3023
T20120000185,248795,N,2512949.58,2420477.416,NILLUMBIK,NILLUMBIK,MELB_URBAN,-37.716521,145.146882,3095
T20120000186,233457,I,2513086.757,2405404.977,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.852324,145.148705,3151
T20120000190,248390,N,2514852.648,2404071.694,MONASH,MONASH,MELB_URBAN,-37.86431,145.168798,3150
T20120000195,390,I,2500413.505,2406717.414,STONNINGTON,STONNINGTON,MELB_URBAN,-37.840591,145.004698,3142
T20120000196,273201,N,2587176.485,2385203.88,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.030322,145.992949,3831
T20120000204,248896,N,2549829.478,2412428.602,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.787799,145.565734,3139
T20120000205,273198,N,2486700.352,2408779.147,HOBSONS BAY,HOBSONS BAY,MELB_URBAN,-37.82192,144.848936,3012
T20120000206,248798,N,2419401.227,2340280.083,SURF COAST,SURF COAST,RURAL_VICTORIA,-38.435581,144.077006,3231
T20120000211,41461,I,2505971.772,2402522.595,STONNINGTON,STONNINGTON,MELB_URBAN,-37.878366,145.067881,3145
T20120000214,248802,N,2512545.957,2414851.012,MANNINGHAM,MANNINGHAM,MELB_URBAN,-37.767222,145.1424,3106
T20120000216,221931,I,2485251.611,2416582.246,BRIMBANK,BRIMBANK,MELB_URBAN,-37.751591,144.832637,3020
T20120000224,248809,N,2518754.31,2338220.52,BASS COAST,BASS COAST,TOWNS,-38.45746,145.214829,3922
T20120000225,50740,I,2384271.247,2304627.508,COLAC OTWAY,COLAC OTWAY,TOWNS,-38.752909,143.669044,3233
T20120000227,35785,I,2443217.219,2369233.286,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.176553,144.351987,3216
T20120000231,37516,I,2496226.054,2406356.498,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.843835,144.957121,3206
T20120000237,273199,N,2435580.823,2393436.873,GEELONG,GEELONG,RURAL_VICTORIA,-37.95801,144.266969,3213
T20120000238,273200,N,2602067.404,2299044.458,SOUTH GIPPSLAND,SOUTH GIPPSLAND,RURAL_VICTORIA,-38.8048,146.174651,3960
T20120000242,89223,N,2525288.076,2408287.56,MAROONDAH,MAROONDAH,MELB_URBAN,-37.8261,145.28725,3153
T20120000245,37150,I,2499651.314,2410102.299,YARRA,YARRA,MELB_URBAN,-37.810093,144.99604,3121
T20120000246,248820,I,2500491.462,2426751.644,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.660077,145.00557,3075
T20120000251,40942,I,2522857.94,2404747.451,KNOX,KNOX,MELB_URBAN,-37.858059,145.259756,3155
T20120000253,248822,I,2526631.984,2407745.521,MAROONDAH,MAROONDAH,MELB_URBAN,-37.830946,145.302535,3137
T20120000255,250963,N,2506628.667,2415640.483,BANYULE,BANYULE,MELB_URBAN,-37.760169,145.07523,3084
T20120000256,238816,I,2500521.776,2397951.608,BAYSIDE,BAYSIDE,MELB_URBAN,-37.919569,145.005934,3186
T20120000258,36645,I,2499028.451,2411284.181,YARRA,YARRA,MELB_URBAN,-37.799444,144.988968,3066
T20120000263,65612,I,2499270.363,2410387.523,YARRA,YARRA,MELB_URBAN,-37.807523,144.991714,3067
T20120000264,273205,N,2446555.443,2569677.535,CAMPASPE,CAMPASPE,RURAL_VICTORIA,-36.370525,144.404393,3572
T20120000274,273189,N,2358783.989,2528629.653,NORTHERN GRAMPIANS,NORTHERN GRAMPIANS,RURAL_VICTORIA,-36.73141,143.41876,3475
T20120000275,248310,N,2301228.717,2757249.902,SWAN HILL,SWAN HILL,RURAL_VICTORIA,-34.661409,142.832758,3549
T20120000277,248824,N,2505868.9,2420227.568,BANYULE,BANYULE,MELB_URBAN,-37.718843,145.066571,3085
T20120000278,43698,I,2499254.77,2419058.538,DAREBIN,DAREBIN,MELB_URBAN,-37.729395,144.991546,3072
T20120000279,42572,I,2515181.744,2394838.743,DANDENONG,DANDENONG,MELB_URBAN,-37.94749,145.172729,3171
T20120000285,250357,I,2323279.216,2609323.976,BULOKE,BULOKE,RURAL_VICTORIA,-35.998322,143.039905,3483
T20120000286,513,I,2520018.211,2409643.929,MAROONDAH,MAROONDAH,MELB_URBAN,-37.814008,145.227353,3134
T20120000293,273224,N,2502597.693,2424238.265,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.68272,145.029452,3074
T20120000296,273226,N,2496297.153,2410345.988,MELBOURNE,MELBOURNE,MELB_URBAN,-37.80789,144.957949,3000
T20120000300,248826,I,2583487.171,2335361.495,SOUTH GIPPSLAND,SOUTH GIPPSLAND,TOWNS,-38.479624,145.956635,3953
T20120000304,48369,I,2503714.254,2416780.013,BANYULE,BANYULE,MELB_URBAN,-37.749918,145.042148,3081
T20120000306,273206,N,2496779.349,2415125.283,MORELAND,MERRI-BEK,MELB_URBAN,-37.76483,144.963446,3056
T20120000307,44024,I,2514608.947,2357413.577,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.284654,145.166958,3915
T20120000314,39047,I,2505158.596,2408846.792,BOROONDARA,BOROONDARA,MELB_URBAN,-37.821391,145.058593,3124
T20120000315,52424,I,2658024.951,2392055.404,WELLINGTON,WELLINGTON,RURAL_VICTORIA,-37.959244,146.798298,3858
T20120000318,273209,N,2615029.248,2445285.362,MANSFIELD,MANSFIELD,RURAL_VICTORIA,-37.48599,146.30081,3723
T20120000321,248840,N,2562687.253,2615155.277,MOIRA,MOIRA,RURAL_VICTORIA,-35.960103,145.694908,3644
T20120000322,45206,I,2489525.386,2413987.086,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.775032,144.881098,3012
T20120000323,248842,N,2538263.479,2475697.84,MURRINDINDI,"MURRINDINDI,MURRINDINDI",TOWNS,-37.21823,145.431169,3717
T20120000328,63572,I,2491058.551,2415995.926,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.756947,144.898526,3040
T20120000329,248843,N,2511076.098,2373334.08,FRANKSTON,FRANKSTON,MELB_URBAN,-38.141286,145.126342,3199
T20120000334,66220,I,2493900.026,2408819.288,MELBOURNE,MELBOURNE,MELB_URBAN,-37.821633,144.930714,3207
T20120000338,604074,N,2498508.03,2408505.675,MELBOURNE,MELBOURNE,MELB_URBAN,-37.824477,144.983053,3004
T20120000342,273227,N,2319081.835,2356850.931,CORANGAMITE,CORANGAMITE,RURAL_VICTORIA,-38.272141,142.932559,3264
T20120000343,207907,N,2538544.286,2567846.953,SHEPPARTON,SHEPPARTON,SMALL_CITIES,-36.387747,145.429647,3630
T20120000351,248848,N,2676801.976,2587999.576,WODONGA,WODONGA,RURAL_VICTORIA,-36.190451,146.965879,3691
T20120000352,248850,N,2397704.406,2441624.342,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.520459,143.84267,3355
T20120000353,1286,I,2436826.868,2361919.574,GEELONG,GEELONG,RURAL_VICTORIA,-38.242022,144.278429,3217
T20120000356,354379,N,2666091.145,2395364.384,WELLINGTON,WELLINGTON,RURAL_VICTORIA,-37.928029,146.889319,3859
T20120000361,277402,N,2702974.538,2512949.876,(FALLS CREEK),(FALLS CREEK),SMALL_TOWNS,-36.861417,147.276745,3699
T20120000367,35876,N,2670460.916,2596908.915,WODONGA,WODONGA,SMALL_CITIES,-36.11133,146.893421,3690
T20120000371,248855,I,2506782.146,2423351.958,BANYULE,BANYULE,MELB_URBAN,-37.690685,145.076901,3083
T20120000375,273228,N,2689432.602,2570249.683,INDIGO,INDIGO,RURAL_VICTORIA,-36.347949,147.110651,3695
T20120000376,248861,I,2479882.235,2348705.485,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.36299,144.769844,3942
T20120000377,248864,N,2499488.174,2406048.156,STONNINGTON,STONNINGTON,MELB_URBAN,-37.846621,144.994185,3141
T20120000382,248866,N,2409877.674,2328184.191,SURF COAST,SURF COAST,TOWNS,-38.54364,143.966449,3232
T20120000386,248867,N,2680873.911,2404315.553,WELLINGTON,WELLINGTON,RURAL_VICTORIA,-37.84464,147.055228,3860
T20120000388,248980,N,2443378.026,2386817.205,GEELONG,GEELONG,RURAL_VICTORIA,-38.018156,144.355181,3212
T20120000390,273229,N,2490289.976,2421528.373,MORELAND,MERRI-BEK,MELB_URBAN,-37.707091,144.889876,3043
T20120000391,25755,I,2375103.033,2350384.582,COLAC OTWAY,COLAC OTWAY,SMALL_CITIES,-38.339644,143.571515,3250
T20120000396,248870,N,2513691.995,2372821.369,FRANKSTON,FRANKSTON,MELB_URBAN,-38.14587,145.15619,3199
T20120000400,248871,N,2511419.65,2366933.605,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.19894,145.130361,3911
T20120000403,273233,N,2473333.979,2411563.021,MELTON,MELTON,RURAL_VICTORIA,-37.79655,144.697216,3029
T20120000404,53300,I,2398835.007,2437088.675,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.56145,143.854843,3350
T20120000410,354380,N,2528812.365,2385015.495,CASEY,CASEY,MELB_URBAN,-38.035668,145.328194,3806
T20120000411,29447,I,2500730.044,2409057.795,YARRA,YARRA,MELB_URBAN,-37.819504,145.008292,3121
T20120000414,223435,I,2581700.642,2369322.341,BAW BAW,BAW BAW,SMALL_CITIES,-38.173888,145.932354,3820
T20120000415,29396,I,2497247.653,2410316.555,MELBOURNE,MELBOURNE,MELB_URBAN,-37.808158,144.968743,3000
T20120000415,29396,I,2497247.653,2410316.555,MELBOURNE,MELBOURNE,MELBOURNE_CBD,-37.808158,144.968743,3000
T20120000417,37818,I,2498087.83,2413544.474,YARRA,"MERRI-BEK,YARRA",MELB_URBAN,-37.779077,144.978293,3068
T20120000422,354255,N,2440490.715,2352172.116,SURF COAST,SURF COAST,SMALL_CITIES,-38.330067,144.319481,3228
T20120000424,46494,I,2520138.428,2411970.676,MAROONDAH,MAROONDAH,MELB_URBAN,-37.793041,145.228654,3134
T20120000425,248874,N,2527748.873,2410588.286,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.8053,145.315116,3137
T20120000427,43734,I,2462760.398,2423482.669,MELTON,MELTON,SMALL_CITIES,-37.688788,144.577758,3337
T20120000428,273230,N,2492246.75,2411177.5,MELBOURNE,MELBOURNE,MELB_URBAN,-37.800373,144.91196,3003
T20120000429,248877,I,2644825.414,2597843.668,INDIGO,INDIGO,RURAL_VICTORIA,-36.107156,146.608554,3683
T20120000430,249890,N,2492616.311,2421623.718,MORELAND,MERRI-BEK,MELB_URBAN,-37.706253,144.916261,3046
T20120000431,249104,N,2504541.64,2416416.329,BANYULE,BANYULE,MELB_URBAN,-37.753191,145.051539,3081
T20120000433,35263,N,2615568.147,2357253.431,LATROBE,LATROBE,RURAL_VICTORIA,-38.27899,146.320713,3840
T20120000434,273237,N,2535562.347,2380111.922,CARDINIA,CARDINIA,SMALL_TOWNS,-38.07961,145.405318,3809
T20120000435,69132,I,2500736.291,2399413.187,BAYSIDE,BAYSIDE,MELB_URBAN,-37.9064,145.008373,3186
T20120000436,273235,N,2733665.183,2405820.445,EAST GIPPSLAND,EAST GIPPSLAND,SMALL_CITIES,-37.819321,147.65433,3875
T20120000447,248882,N,2614743.087,2378000.79,BAW BAW,BAW BAW,RURAL_VICTORIA,-38.092209,146.308028,3825
T20120000449,248884,N,2397093.398,2437298.116,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.559372,143.83516,3350
T20120000450,256115,N,2535448.504,2566376.531,SHEPPARTON,SHEPPARTON,SMALL_CITIES,-36.40112,145.395208,3630
T20120000452,50424,I,2529137.099,2331127.442,BASS COAST,BASS COAST,RURAL_VICTORIA,-38.521077,145.334047,3925
T20120000452,50424,I,2529137.099,2331127.442,BASS COAST,BASS COAST,TOWNS,-38.521077,145.334047,3925
T20120000453,273236,N,2652646.985,2599008.287,INDIGO,INDIGO,RURAL_VICTORIA,-36.095439,146.695179,3688
T20120000457,40951,I,2523327.902,2406609.765,KNOX,KNOX,MELB_URBAN,-37.841268,145.265037,3153
T20120000458,277051,N,2699884.764,2602832.079,TOWONG,TOWONG,RURAL_VICTORIA,-36.052234,147.218609,3691
T20120000460,199632,N,2497143.063,2409257.57,MELBOURNE,MELBOURNE,MELB_URBAN,-37.8177,144.967551,3000
T20120000461,248890,I,2490719.772,2423988.264,HUME,HUME,MELB_URBAN,-37.68493,144.894782,3043
T20120000465,252796,N,2235773.204,2807803.428,MILDURA,MILDURA,SMALL_CITIES,-34.19065,142.13604,3500
T20120000466,248891,N,2516271.205,2383690.441,DANDENONG,DANDENONG,MELB_URBAN,-38.04791,145.185371,3175
T20120000475,273240,N,2497238.673,2418476.261,MORELAND,MERRI-BEK,MELB_URBAN,-37.734638,144.968672,3058
T20120000476,248892,N,2506374.63,2426256.179,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.664519,145.072255,3082
T20120000477,44310,I,2475963.695,2405379.715,WYNDHAM,WYNDHAM,MELB_URBAN,-37.852333,144.726874,3029
T20120000477,44310,I,2475963.695,2405379.715,WYNDHAM,WYNDHAM,RURAL_VICTORIA,-37.852333,144.726874,3029
T20120000480,248900,I,2521627.316,2407761.12,MAROONDAH,MAROONDAH,MELB_URBAN,-37.830936,145.245683,3135
T20120000484,49581,I,2572924.968,2421646.575,YARRA RANGES,YARRA RANGES,RURAL_VICTORIA,-37.703222,145.827026,3799
T20120000485,29413,I,2495596.173,2410096.701,MELBOURNE,MELBOURNE,MELB_URBAN,-37.810133,144.949987,3003
T20120000486,248903,N,2484778.872,2412730.259,BRIMBANK,BRIMBANK,MELB_URBAN,-37.78629,144.827193,3020
T20120000487,36210,I,2496262.142,2411253.091,MELBOURNE,MELBOURNE,MELB_URBAN,-37.799717,144.957556,3052
T20120000492,249375,N,2518034.809,2372436.731,FRANKSTON,FRANKSTON,MELB_URBAN,-38.14926,145.20574,3910
T20120000493,273241,N,2491127.433,2411867.784,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.794143,144.899258,3011
T20120000498,248907,N,2480381.268,2404248.305,HOBSONS BAY,HOBSONS BAY,MELB_URBAN,-37.86263,144.777041,3028
T20120000499,249285,I,2508070.61,2366205.426,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.205535,145.092138,3930
T20120000501,273239,N,2719664.881,2506090.58,EAST GIPPSLAND,EAST GIPPSLAND,RURAL_VICTORIA,-36.91947,147.465871,3898
T20120000502,248912,N,2502691.663,2426938.459,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.65839,145.030507,3076
T20120000505,273245,N,2501514.003,2425172.972,WHITTLESEA,WHITTLESEA,MELB_URBAN,-37.6743,145.017163,3075
T20120000506,207,I,2496223.505,2409069.578,MELBOURNE,MELBOURNE,MELBOURNE_CBD,-37.81939,144.957106,3000
T20120000507,43090,I,2519384.199,2390600.288,DANDENONG,DANDENONG,MELB_URBAN,-37.985598,145.220653,3175
T20120000510,36349,I,2543949.782,2427758.379,YARRA RANGES,YARRA RANGES,TOWNS,-37.64997,145.49807,3777
T20120000519,273244,N,2667926.062,2584717.092,WODONGA,WODONGA,RURAL_VICTORIA,-36.221639,146.867929,3691
T20120000527,40764,I,2513265.712,2404578.292,MONASH,"MONASH,WHITEHORSE",MELB_URBAN,-37.859769,145.150754,3151
T20120000529,793,I,2513733.359,2396501.501,MONASH,MONASH,MELB_URBAN,-37.932532,145.156219,3170
T20120000531,248918,N,2519133.253,2423626.432,NILLUMBIK,NILLUMBIK,RURAL_VICTORIA,-37.68804,145.21694,3097
T20120000533,58095,I,2228545.52,2810264.586,MILDURA,MILDURA,TOWNS,-34.166511,142.058572,3505
T20120000537,65783,I,2496947.316,2409958.151,MELBOURNE,MELBOURNE,MELBOURNE_CBD,-37.811387,144.965331,3000
T20120000539,44624,I,2505802.102,2422240.746,BANYULE,BANYULE,MELB_URBAN,-37.700704,145.065797,3083
T20120000540,57527,I,2498879.96,2403678.368,PORT PHILLIP,PORT PHILLIP,MELB_URBAN,-37.867972,144.98727,3182
T20120000541,45375,I,2492835.935,2415967.239,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.757221,144.918697,3040
T20120000543,248924,N,2556533.962,2596275.409,MOIRA,MOIRA,RURAL_VICTORIA,-36.130637,145.62808,3636
T20120000544,140,I,2490953.855,2411273.015,MARIBYRNONG,MARIBYRNONG,MELB_URBAN,-37.799501,144.89728,3011
T20120000545,273249,N,2516606.45,2396519.846,MONASH,MONASH,MELB_URBAN,-37.93232,145.1889,3170
T20120000554,248928,N,2465076.947,2432264.024,MELTON,MELTON,RURAL_VICTORIA,-37.609753,144.604438,3337
T20120000557,249106,N,2501629.049,2391114.178,BAYSIDE,BAYSIDE,MELB_URBAN,-37.981169,145.018543,3193
T20120000560,246373,I,2556045.721,2363591.221,CARDINIA,CARDINIA,RURAL_VICTORIA,-38.227423,145.640035,3981
T20120000565,248930,N,2443199.012,2374095.532,GEELONG,GEELONG,LARGE_PROVINCIAL_CITIES,-38.132751,144.352156,3220
T20120000568,248931,N,2499556.33,2407399.987,STONNINGTON,STONNINGTON,MELB_URBAN,-37.834441,144.99496,3141
T20120000574,136043,N,2510852.773,2372925.329,FRANKSTON,FRANKSTON,MELB_URBAN,-38.144971,145.1238,3199
T20120000578,273251,N,2490536.648,2348969.132,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.360786,144.891738,3939
T20120000579,238583,I,2497872.315,2410286.736,MELBOURNE,MELBOURNE,MELB_URBAN,-37.808429,144.975837,3002
T20120000581,41177,I,2500054.106,2401743.395,GLEN EIRA,GLEN EIRA,MELB_URBAN,-37.885406,145.000615,3185
T20120000592,273190,N,2501967.2,2453001.36,MITCHELL,MITCHELL,RURAL_VICTORIA,-37.42354,145.022227,3756
T20120000593,248947,N,2495214.881,2418318.617,MORELAND,MERRI-BEK,MELB_URBAN,-37.73605,144.94571,3044
T20120000595,261266,I,2398704.205,2436311.156,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.568441,143.853257,3350
T20120000598,248948,N,2497081.339,2351756.833,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.335719,144.966621,3936
T20120000601,46224,I,2505797.7,2391336.273,KINGSTON,KINGSTON,MELB_URBAN,-37.979152,145.06599,3194
T20120000602,36029,I,2497597.566,2415021.668,MORELAND,MERRI-BEK,MELB_URBAN,-37.765766,144.972732,3057
T20120000603,273252,I,2518702.738,2390153.098,DANDENONG,DANDENONG,MELB_URBAN,-37.989641,145.212907,3175
T20120000608,36638,I,2505219.793,2363172.436,MORNINGTON PENINSULA,MORNINGTON PENINSULA,MELB_URBAN,-38.232878,145.059613,3931
T20120000610,60128,I,2301934.491,2491218.635,NORTHERN GRAMPIANS,NORTHERN GRAMPIANS,TOWNS,-37.058256,142.772597,3380
T20120000615,273242,N,2522491.018,2405651.805,KNOX,KNOX,MELB_URBAN,-37.84992,145.255558,3153
T20120000616,958,I,2512143.836,2369366.121,FRANKSTON,FRANKSTON,MELB_URBAN,-38.177018,145.138587,3199
T20120000617,38486,I,2531432.875,2415910.926,YARRA RANGES,YARRA RANGES,MELB_URBAN,-37.757226,145.356724,3140
T20120000620,248956,I,2400051.131,2439426.579,BALLARAT,BALLARAT,LARGE_PROVINCIAL_CITIES,-37.540516,143.868922,3350
T20120000621,273255,N,2579081.84,2493704.31,MANSFIELD,MANSFIELD,RURAL_VICTORIA,-37.053409,145.889213,3720
T20120000623,34518,I,2492075.524,2417364.265,MOONEE VALLEY,MOONEE VALLEY,MELB_URBAN,-37.744628,144.910082,3040
T20120000630,248981,N,2478455.11,2415841.785,MELTON,MELTON,MELB_URBAN,-37.75813,144.755489,3023
T20120000631,273258,N,2519801.602,2393415.068,DANDENONG,DANDENONG,MELB_URBAN,-37.96023,145.225329,3175
T20120000632,273259,N,2509339.225,2405671.719,WHITEHORSE,WHITEHORSE,MELB_URBAN,-37.849965,145.106119,3125
T20120000638,273261,N,2397416.038,2379595.944,GOLDEN PLAINS,GOLDEN PLAINS,RURAL_VICTORIA,-38.079265,143.83079,3321
T20120000641,29502,I,2505866.263,2415728.199,BANYULE,BANYULE,MELB_URBAN,-37.759384,145.066577,3084
T20120000645,249500,N,2417931.882,2363982.794,SURF COAST,SURF COAST,RURAL_VICTORIA,-38.221954,144.062852,3240
